web-scraper-order,web-scraper-start-url,video-name,video-name-href
"1594627053-4075","https://www.youtube.com/c/YourQuoteApp/videos","'Chahat', 'Khoj' & 'Soch' by Aryama Mishra | Hindi Poetry | YQ - Hyderabad (Open Mic 1)","https://www.youtube.com/watch?v=uhbxB1vZ1sA"
"1594627053-3688","https://www.youtube.com/c/YourQuoteApp/videos","'Why I Wanted To Commit Suicide' by Kirti Jain | English Story | YourQuote - Kolkata (Open Mic 2)","https://www.youtube.com/watch?v=K0KsEQHM_Hg"
"1594627053-3682","https://www.youtube.com/c/YourQuoteApp/videos","'Khushi' & 'Kabaddi' by Anupama Jha | Hindi Poetry | YourQuote - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=pc722VhsZRw"
"1594627053-2998","https://www.youtube.com/c/YourQuoteApp/videos","'Woh Mujhe Bada Satati Thi' & More by Nitesh Jaiswal | Urdu Poetry | YourQuote Slam Namaste 1","https://www.youtube.com/watch?v=VTHFywblADc"
"1594627053-4019","https://www.youtube.com/c/YourQuoteApp/videos","'Proposal' & 'Shaheed Ki Vidhwa' by Abhishek K. | English & Hindi Poetry | YQ - Kolkata (Open Mic 1)","https://www.youtube.com/watch?v=5U7m5uzWSD4"
"1594627053-3611","https://www.youtube.com/c/YourQuoteApp/videos","'Many Priorities' by Rehan | English Poetry | YourQuote - Hyderabad (Open Mic 3)","https://www.youtube.com/watch?v=B2YJRtmprxY"
"1594627053-3161","https://www.youtube.com/c/YourQuoteApp/videos","'Baal Kamar Tak' by Harshad B Tiwari| Hindi Shayari | YourQuote - Kota (Open Mic 1)","https://www.youtube.com/watch?v=d9fAoq-TBnY"
"1594627053-3934","https://www.youtube.com/c/YourQuoteApp/videos","'Talash' & 'Apne Bas Ki Baat Nahi' by Sorabh Mukhi | Hindi Poetry | YQ - Mumbai (Open Mic 3)","https://www.youtube.com/watch?v=p_x0fxDPMQ4"
"1594627053-4187","https://www.youtube.com/c/YourQuoteApp/videos","'Don Vahinee' & More by Pratik Kamble | Marathi & Hindi Poetry | YQ - Mumbai (Open Mic 1)","https://www.youtube.com/watch?v=_jjcabpyLEw"
"1594627053-3280","https://www.youtube.com/c/YourQuoteApp/videos","'Bitiya' by Dr. Sharad Kumar Mishr | Hindi Poetry | YourQuote - Bhopal (Open Mic 2)","https://www.youtube.com/watch?v=IngwAbewDk8"
"1594627053-3177","https://www.youtube.com/c/YourQuoteApp/videos","'Mental Illness' by Surabhi Kukreja | English Poetry | YourQuote - Kota (Open Mic 1)","https://www.youtube.com/watch?v=YlpKI3n6lEs"
"1594627053-3843","https://www.youtube.com/c/YourQuoteApp/videos","'Caged' & More by Ayushi Dauneriya | Hindi & English Poetry | YourQuote - Indore (Open Mic 2)","https://www.youtube.com/watch?v=RU-y-dU8ToQ"
"1594627053-2913","https://www.youtube.com/c/YourQuoteApp/videos","'Aaj Rangon Ki Hadataal Hai' by Vikrant | Hindi Poetry | YourQuote In-House","https://www.youtube.com/watch?v=kUa80kS4Oo4"
"1594627053-3615","https://www.youtube.com/c/YourQuoteApp/videos","'I'll Know It' by Priya Ramavarapu | English Poetry | YourQuote - Hyderabad (Open Mic 3)","https://www.youtube.com/watch?v=PMJuZPE5X0s"
"1594627053-3060","https://www.youtube.com/c/YourQuoteApp/videos","'Bagaavat' by Vidya Krishna | Urdu Ghazal | YourQuote Handpicked","https://www.youtube.com/watch?v=blJf0o66XFs"
"1594627053-4059","https://www.youtube.com/c/YourQuoteApp/videos","'I Am Feeling Good' by Jinesh Udani | English Poetry | YQ - Indore (Open Mic 1)","https://www.youtube.com/watch?v=e4L7qNhuyN8"
"1594627053-3847","https://www.youtube.com/c/YourQuoteApp/videos","'Such Kya Hai?' & More by Amit Singh | Hindi Poetry | YourQuote - Indore (Open Mic 2)","https://www.youtube.com/watch?v=TzxWRS7Cq6w"
"1594627053-2816","https://www.youtube.com/c/YourQuoteApp/videos","'Aati Hai Ab Yaad Ghar Ki' by Sahil Gupta | Hindi Poetry | YourQuote Handpicked","https://www.youtube.com/watch?v=Vmp8DP9pHes"
"1594627053-3516","https://www.youtube.com/c/YourQuoteApp/videos","'Amitesh Dil Se' by Amitesh Sodhiya | Hindi Poetry | YourQuote - Indore (Open Mic 3)","https://www.youtube.com/watch?v=sEUCgO9hFZg"
"1594627053-3441","https://www.youtube.com/c/YourQuoteApp/videos","'Waisa Pyaar Karna Mujhe Nahi Aata' by Sagar | Hindi Poetry | YourQuote - Patna (Open Mic 1)","https://www.youtube.com/watch?v=kQgOvqXVhRw"
"1594627053-2970","https://www.youtube.com/c/YourQuoteApp/videos","'Aakhri Khat' by Rajveer Singh | Urdu Poetry | YourQuote Handpicked","https://www.youtube.com/watch?v=RPUNpZl5lbY"
"1594627053-3594","https://www.youtube.com/c/YourQuoteApp/videos","'Kuch Lafzein Baaki Hain' by Manish Joshi | Hindi Poetry | YourQuote - New Delhi (Open Mic 5)","https://www.youtube.com/watch?v=P5HlYFMvEUs"
"1594627053-3020","https://www.youtube.com/c/YourQuoteApp/videos","'The Mashgool' by Anshul Nagori | Hindi Poetry | YourQuote Handpicked","https://www.youtube.com/watch?v=ZYpxhTs0cYg"
"1594627053-3163","https://www.youtube.com/c/YourQuoteApp/videos","'Ek Choti Si Chidiya' by Himanshu Tiwari | Hindi Poetry | YourQuote - Kota (Open Mic 1)","https://www.youtube.com/watch?v=ZTm99JLE2_8"
"1594627053-3461","https://www.youtube.com/c/YourQuoteApp/videos","'Har Raat' by Nikhil Razadan | Hindi Poetry | YourQuote - Kanpur (Open Mic 1)","https://www.youtube.com/watch?v=qdDa9y9uUXc"
"1594627053-3433","https://www.youtube.com/c/YourQuoteApp/videos","'Mujhe Insaan Diktha Hai' by Pratyush Yaduvanshi | Hindi Poetry | YourQuote - Patna (Open Mic 1)","https://www.youtube.com/watch?v=txB0EklsgvA"
